Animalia ,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,sagarana,,Eukoenenia sagarana ,"Eukoenenia sagarana Souza & Ferreira, 2012",Palpígrado,,,
Animalia ,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,spelunca,,Eukoenenia spelunca ,"Eukoenenia spelunca Souza & Ferreira, 2011",Palpígrado,,,
Animalia ,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,virgemdalapa,,Eukoenenia virgemdalapa ,"Eukoenenia virgemdalapa Souza & Ferreira, 2012",Palpígrado,,,
Animalia ,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Leptokoenenia,pelada,,Leptokoenenia pelada ,"Leptokoenenia pelada Souza & Ferreira, 2013",Palpígrado,,,
Animalia ,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Leptokoenenia,thalassophobica,,Leptokoenenia thalassophobica ,"Leptokoenenia thalassophobica Souza & Ferreira, 2013",Palpígrado,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Bochicidae,Spelaeobochica,allodentatus,,Spelaeobochica allodentatus ,"Spelaeobochica allodentatus Mahnert, 2001",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Bochicidae,Spelaeobochica,iuiu,,Spelaeobochica iuiu ,"Spelaeobochica iuiu Ratton, Mahnert & Ferreira, 2012",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Bochicidae,Spelaeobochica,muchmorei,,Spelaeobochica muchmorei ,"Spelaeobochica muchmorei Andrade & Mahnert, 2003",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Chernetidae,Maxchernes,iporangae,,Maxchernes iporangae ,"Maxchernes iporangae Mahnert & Andrade, 1998",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Chernetidae,Spelaeochernes,gracilipalpus,,Spelaeochernes gracilipalpus ,"Spelaeochernes gracilipalpus Mahnert, 2001",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,Pseudochthonius,biseriatus,,Pseudochthonius biseriatus ,"Pseudochthonius biseriatus Mahnert, 2001",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,Pseudochthonius,strinatii,,Pseudochthonius strinatii ,"Pseudochthonius strinatii Beier, 1969",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Ideoroncidae,Ideoroncus,cavicola,,Ideoroncus cavicola ,"Ideoroncus cavicola Mahnert, 2001",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,Progarypus,nigrimanus,,Progarypus nigrimanus ,"Progarypus nigrimanus Mahnert, 2001",Pseudoescorpião,,,
Animalia ,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Rowlandius,linsduarteae,,Rowlandius linsduarteae ,"Rowlandius linsduarteae Santos, Dias, Brescovit & Santos, 2008",Escorpião-chicote-de-cauda-curta,,,
Animalia ,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Rowlandius,potiguar,,Rowlandius potiguar ,"Rowlandius potiguar Santos, Ferreira & Buzatto, 2013",Escorpião-chicote-de-cauda-curta,,,
Animalia ,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Rowlandius,ubajara,,Rowlandius ubajara ,"Rowlandius ubajara Santos, Ferreira & Buzatto, 2013",Escorpião-chicote-de-cauda-curta,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Ananteris,infuscata,,Ananteris infuscata ,"Ananteris infuscata Lourenço, Giupponi & Leguin, 2013",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Ananteris,kuryi,,Ananteris kuryi ,"Ananteris kuryi Giupponi, Vasconcelos & Lourenço, 2009",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Rhopalurus,guanambiensis,,Rhopalurus guanambiensis ,"Rhopalurus guanambiensis Lenarducci, Pinto-da-Rocha & Lucas, 2005",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Rhopalurus,lacrau,,Rhopalurus lacrau ,"Rhopalurus lacrau Lourenço & Pinto-da-Rocha, 1997",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,annae,,Tityus annae ,"Tityus annae Lourenço, 1997",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,kuryi,,Tityus kuryi ,"Tityus kuryi Lourenço & da Silva, 2007",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,marajoensis,,Tityus marajoensis ,"Tityus marajoensis Lourenço & da Silva, 2007",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,munozi,,Tityus munozi ,"Tityus munozi Lourenço, 1997",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Tityus,pintodarochai,,Tityus pintodarochai ,"Tityus pintodarochai Lourenço, 2005",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Buthidae,Troglorhopalurus,translucidus,,Troglorhopalurus translucidus ,"Troglorhopalurus translucidus Lourenço, Baptista & Giupponi, 2004",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Chactidae,Hadrurochactas,araripe,,Hadrurochactas araripe ,"Hadrurochactas araripe Lourenço, 2010",Escorpião,,,
Animalia ,Arthropoda,Arachnida,Scorpiones,Chactidae,Hadrurochactas,brejo,,Hadrurochactas brejo ,"Hadrurochactas brejo Lourenço, 1988",Escorpião,,,
Animalia ,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alona,broaensis,,Alona broaensis ,"Alona broaensis Matsumura-Tundisi & Smirnov, 1984",Cladócero,,,
Animalia ,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alonella,lineolatta,,Alonella lineolatta ,"Alonella lineolatta Sars, 1901",Cladócero,,,
Animalia ,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Anchistropus,ominosus,,Anchistropus ominosus ,"Anchistropus ominosus Smirnov, 1985",Cladócero,,,
Animalia ,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Leydigiopsis,megalops,,Leydigiopsis megalops ,"Leydigiopsis megalops Sars, 1901",Cladócero,,,
Animalia ,Arthropoda,Chilopoda,Geophilomorpha,Ballophilidae,Ityphilus,bonatoi,,Ityphilus bonatoi ,"Ityphilus bonatoi Pereira, 2013","Lacraia, centopeia",,,
Animalia ,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,Hyphydrophilus,projectus,,Hyphydrophilus projectus ,"Hyphydrophilus projectus Pereira, Foddai & Minelli, 2000","Lacraia, centopeia",,,
Animalia ,Arthropoda,Chilopoda,Lithobiomorpha,Hemicopidae,Lamyctes,adisi,,Lamyctes adisi ,"Lamyctes adisi Zalesskaja, 1994","Lacraia, centopeia",,,
Animalia ,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,Cryptops (Cryptops),spelaeoraptor ,,Cryptops (Cryptops) spelaeoraptor  ,"Cryptops (Cryptops) spelaeoraptor Azara & Ferreira, 2014","Lacraia, centopeia",,,
Animalia ,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,Cryptops (Trigonocryptops),iporangensis,,Cryptops (Trigonocryptops) iporangensis ,"Cryptops (Trigonocryptops) iporangensisAzara & Ferreira, 2013","Lacraia, centopeia",,,
